campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2015|cand|Aaron Brockett,2015,Official Candidate Committee,Aaron Brockett for City Council,2015-OCC-008,Aaron Brockett,candidate,160.0,10757.12,Aaron Brockett,council,10213,TRUE,B,B,better_boulder;daily_camera;open_boulder;sierra_club_indian_peaks
2015|cand|Bob Yates,2015,Official Candidate Committee,Bob Yates for Council,2015-OCC-007,Bob Yates,candidate,186.0,16784.19,Bob Yates,council,12242,TRUE,B,B,better_boulder;boulder_weekly;open_boulder
2015|cand|Cynthia Carlisle,2015,Official Candidate Committee,Cindy Carlisle for Council,2015-OCC-012,Cynthia Carlisle,candidate,149.0,10590.26,Cindy Carlisle,council,8861,FALSE,A,A,boulder_weekly;plan_boulder_county
2015|cand|Donald Cote,2015,Official Candidate Committee,Don Cote for Council,2015-OCC-014,Donald Cote,candidate,42.0,3340.0,Don Cote,council,5822,FALSE,,,daily_camera
2015|cand|Edward Jabari,2015,Official Candidate Committee,Jabari for City Council,2015-OCC-020,Edward Jabari,candidate,3.0,160.0,Edward Jabari,council,1846,FALSE,,,
2015|cand|Jan Burton,2015,Official Candidate Committee,Jan for Boulder,2015-OCC-019,Jan Burton,candidate,123.0,10204.41,Jan Burton,council,8986,TRUE,B,,daily_camera;open_boulder
2015|cand|Julianne McCabe,2015,Official Candidate Committee,Julie McCabe for Council,2015-OCC-013,Julianne McCabe,candidate,1.0,100.0,Julianne McCabe,council,4000,FALSE,,,daily_camera
2015|cand|Jyotsna Raj,2015,Official Candidate Committee,Raj for Council,2015-OCC-006,Jyotsna Raj,candidate,152.0,7921.0,Jyotsna Raj,council,6444,FALSE,A,A,plan_boulder_county
2015|cand|Keith Percy,2015,Official Candidate Committee,Comrade Keith Percy for Council,2015-OCC-017,Keith Percy,candidate,6.0,320.17,Comrade Keith Percy,council,901,FALSE,,,
2015|cand|Lauren (Cha Cha) Spinrad,2015,Official Candidate Committee,Cha Cha for Boulder Council,2015-OCC-015,Lauren (Cha Cha) Spinrad,candidate,50.0,2390.0,Cha Cha Spinrad,council,2016,FALSE,,,
2015|cand|Leonard May,2015,Official Candidate Committee,May for Council,2015-OCC-009,Leonard May,candidate,137.0,8281.8,Leonard May,council,6705,FALSE,A,A,plan_boulder_county;sierra_club_indian_peaks
2015|cand|Lisa Morzel,2015,Official Candidate Committee,Lisa Morzel for Council,2015-OCC-005,Lisa Morzel,candidate,138.0,9250.0,Lisa Morzel,council,10810,TRUE,A,A,boulder_weekly;plan_boulder_county;sierra_club_indian_peaks
2015|cand|Michael Kruteck,2015,Official Candidate Committee,Kruteck for Council,2015-OCC-016,Michael Kruteck,candidate,65.0,5835.0,Michael Kruteck,council,8819,FALSE,,,boulder_weekly;daily_camera
2015|cand|Suzanne Jones,2015,Official Candidate Committee,Suzanne Jones for Council,2015-OCC-010,Suzanne Jones,candidate,150.0,9759.52,Suzanne Jones,council,11294,TRUE,AB,AB,better_boulder;boulder_weekly;plan_boulder_county;sierra_club_indian_peaks
2015|cand|Tim Plass,2015,Official Candidate Committee,Plass for Council,2015-OCC-011,Tim Plass,candidate,149.0,10851.0,Tim Plass,council,8109,FALSE,B,B,better_boulder;open_boulder;sierra_club_indian_peaks
2015|cand|William Rigler,2015,Official Candidate Committee,Rigler for City Council,2015-OCC-021,William Rigler,candidate,136.0,8897.0,Bill Rigler,council,5644,FALSE,B,B,better_boulder;open_boulder
2015|issue|Against 300 and 301 for a Better Boulder,2015,Issue Committee,Against 300 and 301 for a Better Boulder,2015-ISC-038,,issue,1.0,900.0,,,,,,,
2015|issue|Citizens for Development Shall Pay Its Own Way,2015,Issue Committee,Citizens for Development Shall Pay Its Own Way,2015-ISC-001,,issue,119.0,19533.6,,,,,,,
2015|issue|Citizens for One Boulder,2015,Issue Committee,Citizens for One Boulder,2015-ISC-003,,issue,147.0,35856.7,,,,,,,
2015|issue|Coalition for One Boulder,2015,Issue Committee,Coalition for One Boulder,2015-ISC-004,,issue,116.0,38978.92,,,,,,,
2015|issue|Neighborhoods' Right to Vote on Land Use Regulation Changes,2015,Issue Committee,Neighborhoods' Right to Vote on Land Use Regulation Changes,2015-ISC-002,,issue,136.0,19706.62,,,,,,,
2015|issue|PLAN-Boulder County Issues Committee 2015,2015,Issue Committee,PLAN-Boulder County Issues Committee 2015,2015-ISC-030,,issue,2.0,35.0,,,,,,,
2015|issue|Renew the Climate Action Plan Committee,2015,Issue Committee,Renew the Climate Action Plan Committee,2015-ISC-032,,issue,8.0,874.36,,,,,,,
2015|issue|Renew the Utility General Fund Occupation Tax Committee,2015,Issue Committee,Renew the Utility General Fund Occupation Tax Committee,2015-ISC-033,,issue,9.0,924.37,,,,,,,
2015|issue|Sierra Club Issue Committee,2015,Issue Committee,Sierra Club Issue Committee,2015-ISC-035,,issue,0.0,0.0,,,,,,,
2015|issue|Yes on 2N: A Fair Deal for Boulder,2015,Issue Committee,Yes on 2N: A Fair Deal for Boulder,2015-ISC-039,,issue,13.0,43726.56,,,,,,,
2016|issue|Boulder Choices for Boulder Homes,2016,Issue Committee,Boulder Choices for Boulder Homes,2016-ISC-002,,issue,7.0,672.53,,,,,,,
2016|issue|Boulder Voters for Term Limits,2016,Issue Committee,Boulder Voters for Term Limits,2016-ISC-003,,issue,18.0,39902.159999999996,,,,,,,
2016|issue|Healthy Boulder Kids,2016,Issue Committee,Healthy Boulder Kids,2016-ISC-001,,issue,54.0,890356.56,,,,,,,
2016|issue|Legalize Boulder,2016,Issue Committee,Legalize Boulder,2016-ISC-004,,issue,2.0,43.5,,,,,,,
2016|issue|New Era Colorado Action Fund,2016,Issue Committee,New Era Colorado Action Fund,2016-ISC-007,,issue,0.0,0.0,,,,,,,
2016|issue|No on 2H: Stop the Beverage and Grocery Tax,2016,Issue Committee,No on 2H: Stop the Beverage and Grocery Tax,2016-ISC-005,,issue,1.0,13678.0,,,,,,,
